round,agent,profit,total_profit
37,senku,15.0,420.0
37,yuzu,15.0,420.0
38,takeshi,15.0,310.0
38,kazuya,15.0,360.0
38,lelouch,15.0,385.0
38,senku,15.0,435.0
38,yuzu,15.0,435.0
39,takeshi,15.0,325.0
39,kazuya,-10.0,350.0
39,lelouch,-10.0,375.0
39,senku,15.0,450.0
39,yuzu,15.0,450.0
40,takeshi,-10.0,315.0
40,kazuya,-10.0,340.0
40,lelouch,-10.0,365.0
40,senku,15.0,465.0
40,yuzu,15.0,465.0
41,takeshi,15.0,330.0
41,kazuya,15.0,355.0
41,lelouch,-10.0,355.0
41,senku,15.0,480.0
41,yuzu,15.0,480.0
42,takeshi,15.0,345.0
42,kazuya,15.0,370.0
42,lelouch,-10.0,345.0
42,senku,-10.0,470.0
42,yuzu,15.0,495.0
43,takeshi,15.0,360.0
43,kazuya,15.0,385.0
43,lelouch,15.0,360.0
43,senku,15.0,485.0
43,yuzu,15.0,510.0
44,takeshi,15.0,375.0
44,kazuya,15.0,400.0
44,lelouch,15.0,375.0
44,senku,15.0,500.0
45,takeshi,15.0,390.0
45,kazuya,15.0,415.0
45,lelouch,15.0,390.0
46,takeshi,15.0,405.0
46,kazuya,-10.0,405.0
46,lelouch,-10.0,380.0
47,takeshi,15.0,420.0
47,kazuya,15.0,420.0
47,lelouch,15.0,395.0
48,takeshi,15.0,435.0
48,kazuya,15.0,435.0
48,lelouch,15.0,410.0
49,takeshi,-10.0,425.0
49,kazuya,15.0,450.0
49,lelouch,15.0,425.0
50,takeshi,15.0,440.0
50,kazuya,15.0,465.0
50,lelouch,-10.0,415.0
51,takeshi,15.0,455.0
51,kazuya,15.0,480.0
51,lelouch,-10.0,405.0
52,takeshi,15.0,470.0
52,kazuya,15.0,495.0
52,lelouch,15.0,420.0
53,takeshi,15.0,485.0
53,kazuya,15.0,510.0
53,lelouch,-10.0,410.0
54,takeshi,15.0,500.0
54,lelouch,15.0,425.0
55,lelouch,-10.0,415.0
56,lelouch,15.0,430.0
57,lelouch,15.0,445.0
58,lelouch,15.0,460.0
59,lelouch,15.0,475.0
60,lelouch,15.0,490.0
61,lelouch,-10.0,480.0
62,lelouch,-10.0,470.0
63,lelouch,-10.0,460.0
64,lelouch,-10.0,450.0
65,lelouch,15.0,465.0
66,lelouch,15.0,480.0
67,lelouch,15.0,495.0
68,lelouch,-10.0,485.0
69,lelouch,-10.0,475.0
70,lelouch,-10.0,465.0
71,lelouch,15.0,480.0
72,lelouch,15.0,495.0
73,lelouch,15.0,510.0
