round,agent,action,clicks,payout,profit,timestamp
0,takeshi,cashout,3,2.5,15.0,2025-10-31T22:07:47.905836
0,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.905944
0,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.906018
0,senku,cashout,3,2.5,15.0,2025-10-31T22:07:47.906085
0,yuzu,cashout,3,2.5,15.0,2025-10-31T22:07:47.906152
1,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:07:47.906204
1,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.906270
1,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.906335
1,senku,cashout,3,2.5,15.0,2025-10-31T22:07:47.906398
1,yuzu,cashout,3,2.5,15.0,2025-10-31T22:07:47.906462
2,takeshi,cashout,3,2.5,15.0,2025-10-31T22:07:47.906534
2,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.906600
2,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.906664
2,senku,cashout,3,2.5,15.0,2025-10-31T22:07:47.906727
2,yuzu,cashout,3,2.5,15.0,2025-10-31T22:07:47.906791
3,takeshi,click_mine,1,0.0,-10.0,2025-10-31T22:07:47.906832
3,kazuya,click_mine,1,0.0,-10.0,2025-10-31T22:07:47.906873
3,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.906936
3,senku,cashout,3,2.5,15.0,2025-10-31T22:07:47.906999
3,yuzu,cashout,3,2.5,15.0,2025-10-31T22:07:47.907062
4,takeshi,cashout,3,2.5,15.0,2025-10-31T22:07:47.907126
4,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.907191
4,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.907255
4,senku,cashout,3,2.5,15.0,2025-10-31T22:07:47.907318
4,yuzu,cashout,3,2.5,15.0,2025-10-31T22:07:47.907381
5,takeshi,cashout,3,2.5,15.0,2025-10-31T22:07:47.907445
5,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.907534
5,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.907600
5,senku,click_mine,2,0.0,-10.0,2025-10-31T22:07:47.907649
5,yuzu,click_mine,2,0.0,-10.0,2025-10-31T22:07:47.907697
6,takeshi,click_mine,2,0.0,-10.0,2025-10-31T22:07:47.907747
6,kazuya,cashout,3,2.5,15.0,2025-10-31T22:07:47.907810
6,lelouch,cashout,3,2.5,15.0,2025-10-31T22:07:47.907874
